"Date","Calories.Burned","Steps","Distance","Floors","Minutes.Sedentary","Minutes.Lightly.Active","Minutes.Fairly.Active","Minutes.Very.Active","Activity.Calories"
"2/20/2016","1,940","1,923",0.86,15,"867",84,0,0,"303"
"2/21/2016","2,025","2,650",1.18,10,"930",117,0,0,"436"
"2/22/2016","2,219","5,517",2.46,13,"677",158,6,3,"693"
"2/23/2016","2,371","7,391",3.29,22,"655",172,6,11,"851"
"2/24/2016","2,079","3,859",1.72,14,"786",113,0,0,"492"
"2/25/2016","2,322","6,846",3.05,22,"468",154,14,9,"787"
"2/26/2016","2,556","8,953",4.02,34,"542",267,2,9,"1,131"
"2/27/2016","2,023","3,403",1.52,12,"741",120,0,0,"456"
"2/28/2016","1,761","642",0.29,1,"1,264",27,0,0,"96"
"2/29/2016","2,404","7,782",3.47,23,"666",215,5,4,"935"
"3/1/2016","1,974","2,215",0.99,5,"475",97,0,0,"366"
"3/2/2016","2,329","6,387",2.85,23,"632",187,8,3,"830"
"3/3/2016","2,269","4,835",2.15,22,"680",180,10,0,"754"
"3/4/2016","2,054","3,347",1.49,9,"559",131,0,0,"500"
"3/5/2016","2,127","3,643",1.62,20,"410",154,0,0,"568"
"3/6/2016","2,122","3,551",1.58,17,"519",137,5,1,"539"
"3/7/2016","2,419","6,395",2.85,26,"590",204,2,8,"897"
"3/8/2016","1,995","2,451",1.09,7,"795",75,9,1,"346"
"3/9/2016","2,461","7,465",3.33,25,"791",237,8,2,"1,029"
"3/10/2016","2,660","9,211",4.1,22,"671",236,20,11,"1,213"
"3/11/2016","1,812","995",0.44,2,"818",48,0,0,"180"
"3/12/2016","1,871","1,666",0.74,6,"1,345",62,0,0,"239"
"3/13/2016","2,271","4,970",2.21,19,"521",203,0,0,"778"
"3/14/2016","2,443","7,223",3.22,25,"751",270,0,0,"1,029"
"3/15/2016","1,770","935",0.42,2,"1,097",36,0,0,"133"
"3/16/2016","2,531","8,700",3.88,18,"1,082",188,40,8,"1,072"
"3/17/2016","2,655","9,948",4.43,28,"1,105",282,6,3,"1,237"
"3/18/2016","2,068","3,251",1.45,9,"718",119,0,0,"503"
"3/19/2016","2,115","4,309",1.92,19,"1,085",167,0,0,"608"
"3/20/2016","2,342","5,307",2.36,23,"601",224,0,0,"834"
"3/21/2016","3,086","11,274",5.02,33,"563",191,58,50,"1,644"
"3/22/2016","3,207","12,614",5.62,25,"359",194,53,67,"1,746"
"3/23/2016","2,678","9,023",4.02,19,"537",210,6,33,"1,187"
"3/24/2016","2,963","11,218",5,13,"615",149,23,63,"1,378"
"3/25/2016","3,353","13,814",6.15,13,"450",168,45,88,"1,802"
"3/26/2016","2,225","4,949",2.2,13,"672",179,0,0,"694"
"3/27/2016","2,122","4,199",1.87,16,"647",165,0,0,"603"
"3/28/2016","2,508","7,747",3.45,23,"555",236,5,6,"1,073"
"3/29/2016","2,668","8,940",3.98,44,"377",320,15,10,"1,331"
"3/30/2016","2,205","4,969",2.21,16,"658",159,7,3,"686"
"3/31/2016","2,673","10,490",4.67,32,"604",241,9,21,"1,220"
"4/1/2016","2,505","7,472",3.33,22,"545",266,0,0,"1,068"
"4/2/2016","2,340","6,222",2.77,21,"684",218,0,0,"870"
"4/3/2016","2,401","6,582",2.93,29,"614",235,0,0,"952"
"4/4/2016","2,129","4,041",1.8,13,"657",161,0,0,"598"
"4/5/2016","2,346","6,508",2.9,17,"489",210,0,0,"854"
"4/6/2016","2,421","7,368",3.28,25,"641",189,11,9,"900"
"4/7/2016","2,562","8,226",3.66,23,"554",233,13,5,"1,091"
"4/8/2016","2,882","12,710",5.66,21,"522",226,23,37,"1,409"
"4/9/2016","2,321","4,036",1.8,18,"642",180,0,0,"705"
"4/10/2016","2,435","6,190",2.76,31,"582",244,0,0,"969"
"4/11/2016","2,445","7,180",3.2,27,"601",254,0,0,"1,001"
"4/12/2016","2,577","8,578",3.82,26,"475",266,0,0,"1,126"
"4/13/2016","2,276","4,678",2.08,19,"759",184,0,0,"725"
"4/14/2016","2,504","8,276",3.69,21,"586",244,0,0,"1,017"
"4/15/2016","2,573","8,065",3.59,21,"687",223,16,17,"1,105"
"4/16/2016","2,745","9,943",4.43,25,"494",253,21,12,"1,283"
"4/17/2016","2,251","4,620",2.06,20,"814",168,6,2,"698"
"4/18/2016","2,801","11,503",5.45,21,"920",204,0,46,"1,319"
"4/19/2016","2,953","13,431",6.26,27,"574",160,21,69,"1,444"
"4/20/2016","2,805","11,729",5.65,30,"640",207,12,48,"1,370"
"4/21/2016","2,954","13,710",6.42,23,"580",191,13,66,"1,499"
"4/22/2016","2,982","13,467",6.51,40,"600",210,30,52,"1,578"
"4/23/2016","2,771","11,429",5.57,29,"618",209,0,40,"1,300"
"4/24/2016","2,541","9,025",4.46,18,"515",150,1,37,"987"
"4/25/2016","2,752","11,427",5.5,23,"731",189,11,44,"1,293"
"4/26/2016","2,338","6,645",2.96,23,"686",137,12,15,"790"
"4/27/2016","2,639","8,596",3.87,18,"563",180,4,43,"1,163"
"4/28/2016","2,374","6,705",3,20,"622",216,0,0,"879"
"4/29/2016","2,618","10,333",5.07,25,"659",163,2,38,"1,129"
"4/30/2016","2,465","8,221",4.18,21,"793",120,2,37,"899"
"5/1/2016","1,927","1,969",0.88,11,"747",75,0,0,"291"
"5/2/2016","2,672","10,532",5.12,21,"684",176,2,44,"1,183"
"5/3/2016","2,542","7,960",3.55,23,"570",237,15,8,"1,089"
"5/4/2016","2,273","5,320",2.37,13,"625",206,0,0,"766"
"5/5/2016","2,392","7,618",3.39,16,"595",170,13,7,"862"
"5/6/2016","2,423","6,783",3.02,22,"603",211,6,2,"898"
"5/7/2016","2,122","3,906",1.74,12,"626",155,0,0,"581"
"5/8/2016","2,716","9,869",4.83,37,"585",181,7,39,"1,213"
"5/9/2016","2,851","11,916",5.72,30,"991",234,5,37,"1,401"
"5/10/2016","2,942","13,501",6.47,14,"529",186,26,56,"1,505"
"5/11/2016","2,531","8,292",3.69,21,"555",234,11,7,"1,074"
"5/12/2016","2,965","13,525",6.63,45,"580",219,6,53,"1,544"
"5/13/2016","2,684","9,468",4.22,13,"899",284,6,2,"1,213"
"5/14/2016","2,878","11,985",5.72,30,"708",247,3,37,"1,417"
"5/15/2016","2,557","9,486",4.73,29,"664",170,3,33,"1,074"
"5/16/2016","2,820","11,832",5.74,29,"594",207,13,44,"1,382"
"5/17/2016","2,255","5,516",2.46,24,"644",199,0,0,"762"
"5/18/2016","2,787","12,010",5.82,32,"522",208,14,40,"1,370"
"5/19/2016","2,608","9,748",4.72,31,"593",181,12,33,"1,137"
"5/20/2016","2,924","12,486",6,43,"544",229,19,39,"1,493"
"5/21/2016","2,157","4,628",2.06,22,"668",171,0,0,"640"
"5/22/2016","1,440","5,681",2.97,5,"792",29,1,35,"518"
